"Transaction Code","Postings1","Corrections","Adjustments","Totals","Transactions","","Post","Corr","Adj","Total Opening Balance","Today's Total (including corrections)","Today's Adjustments"
"AC","7,369.60","0.00","0.00","7,369.60","41","","41","0","0","(32,969.87)","(18,103.71)","7,654.18"
"AX","(37.77)","0.00","0.00","(37.77)","6","","6","0","0","(32,969.87)","(18,103.71)","7,654.18"
"CA","(14.50)","0.00","0.00","(14.50)","3","","3","0","0","(32,969.87)","(18,103.71)","7,654.18"
"CI","(7,369.60)","0.00","0.00","(7,369.60)","41","","41","0","0","(32,969.87)","(18,103.71)","7,654.18"
"DS","(50.00)","0.00","0.00","(0.00)","1","","1","0","0","(32,969.87)","(18,103.71)","7,654.18"
"GS","35.27","0.00","0.00","35.27","10","","10","0","0","(32,969.87)","(18,103.71)","7,654.18"
"MC","(16,576.61)","0.00","7,554.18","(9,022.43)","32","","25","0","7","(32,969.87)","(18,103.71)","7,654.18"
"PET","20.00","0.00","0.00","20.00","1","","1","0","0","(32,969.87)","(18,103.71)","7,654.18"
"T1","3.32","0.00","0.00","3.32","11","","11","0","0","(32,969.87)","(18,103.71)","7,654.18"
"T2","0.56","0.00","0.00","0.56","11","","11","0","0","(32,969.87)","(18,103.71)","7,654.18"
"T3","1.00","0.00","0.00","1.00","1","","1","0","0","(32,969.87)","(18,103.71)","7,654.18"
"VI","(684.98)","0.00","100.00","(584.98)","6","","5","0","1","(32,969.87)","(18,103.71)","7,654.18"
"*Revenues do not include taxes","","","","","","","","","","","",""
add 8 to 837
