"Applied Credit (AC)","22,977.60","7,369.60","0.00","7,369.60","7,369.60","30,347.20"
"Credit Invoice (CI)","(22,977.60)","(7,369.60)","0.00","(7,369.60)","(7,369.60)","(30,347.20)"
"Direct Bill (DB)","(35,278.08)","0.00","0.00","0.00","(1,606.88)","(35,278.08)"
"Direct Billing Receivable (DR)","35,278.08","0.00","0.00","0.00","1,606.88","35,278.08"
"Franchise Credit (FC)","(5,080.85)","0.00","0.00","0.00","0.00","(5,080.85)"
"Cash (CA)","(2,510.05)","(14.50)","0.00","(14.50)","(187.75)","(2,524.55)"
"Check (CK)","(1,486.16)","0.00","0.00","0.00","(244.16)","(1,486.16)"
"American Express (AX)","(48,081.07)","(837.77)","0.00","(837.77)","(5,097.03)","(48,918.84)"
"Discover (DS)","(28,309.80)","(50.00)","0.00","(50.00)","(1,102.75)","(28,359.80)"
"Master Card (MC)","(319,601.16)","(16,576.61)","7,554.18","(9,022.43)","(27,379.01)","(328,623.59)"
"Visa Payment (VI)","(334,796.56)","(684.98)","100.00","(584.98)","(16,970.62)","(335,381.54)"
"Gift Shop (GS)","4,491.81","35.27","0.00","35.27","316.99","4,527.08"
"Laundry Supplies (LS)","69.18","0.00","0.00","0.00","0.00","69.18"
"Miscellaneous (MS)","(89.29)","0.00","0.00","0.00","(89.29)","(89.29)"
"Pet Charge (PET)","2,937.86","20.00","0.00","20.00","280.00","2,957.86"
"Rollaway Charge (RL)","10.00","0.00","0.00","0.00","0.00","10.00"
"Room Charge (RM)","636,617.40","4,530.29","0.00","4,530.29","46,957.87","641,147.69"
"City / County Tax (T2)","6,278.46","45.89","0.00","45.89","470.56","6,324.35"
"State Tax (T1)","37,671.59","275.13","0.00","275.13","2,823.20","37,946.72"
"Tourism Tax (T3)","31,166.28","227.52","0.00","227.52","2,336.86","31,393.80"
